	filename	scene_label
0	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
0	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
1	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
1	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
2	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
2	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
3	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
3	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
4	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
4	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
5	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
5	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
6	vocal_imitations/00004_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
6	vocal_imitations/00004_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
7	vocal_imitations/00005_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
7	vocal_imitations/00005_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
8	vocal_imitations/00017_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
8	vocal_imitations/00017_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
9	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
9	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
10	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
10	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
11	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
11	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
12	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
12	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
13	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
13	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
