	filename	scene_label
0	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
0	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
1	vocal_imitations/00009_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
1	vocal_imitations/00009_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
2	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
2	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
3	vocal_imitations/00017_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
3	vocal_imitations/00017_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
4	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
4	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
5	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
5	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
6	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
6	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
7	vocal_imitations/00018_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
7	vocal_imitations/00018_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
8	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
8	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
9	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
9	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
10	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
10	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
11	vocal_imitations/00012_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
11	vocal_imitations/00012_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
12	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
12	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
13	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
13	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
14	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
14	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
15	vocal_imitations/00013_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
15	vocal_imitations/00013_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
16	vocal_imitations/00029_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
16	vocal_imitations/00029_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
17	vocal_imitations/00032_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
17	vocal_imitations/00032_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
18	vocal_imitations/00026_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
18	vocal_imitations/00026_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
19	vocal_imitations/00036_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
19	vocal_imitations/00036_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
20	vocal_imitations/00023_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
20	vocal_imitations/00023_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
21	vocal_imitations/00034_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
21	vocal_imitations/00034_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
22	vocal_imitations/00028_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
22	vocal_imitations/00028_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
23	vocal_imitations/00021_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
23	vocal_imitations/00021_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
24	vocal_imitations/00020_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
24	vocal_imitations/00020_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
25	vocal_imitations/00025_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
25	vocal_imitations/00025_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
26	vocal_imitations/00024_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
26	vocal_imitations/00024_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
27	vocal_imitations/00027_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
27	vocal_imitations/00027_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
28	vocal_imitations/00037_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
28	vocal_imitations/00037_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
29	vocal_imitations/00033_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
29	vocal_imitations/00033_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
30	vocal_imitations/00035_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
30	vocal_imitations/00035_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
31	vocal_imitations/00038_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
31	vocal_imitations/00038_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
32	vocal_imitations/00042_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
32	vocal_imitations/00042_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
33	vocal_imitations/00041_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
